OID_;ORIG_FID;FID_ne_50m_coastline_Tes_SymDiff_Buffer_20KM;FID_ne_50m_coastline_Test_Clip_Buffer20km;FID_ne_50m_coastli_Testmap_ToPoly;Australia_elevation
919;4;4;-1;38;119
920;4;4;-1;38;122
921;4;4;-1;38;152
922;4;4;-1;38;227
923;4;4;-1;38;122
924;4;4;-1;38;67
925;4;4;-1;38;60
926;4;4;-1;38;44
927;4;4;-1;38;41
928;4;4;-1;38;41
929;4;4;-1;38;76
930;4;4;-1;38;317
931;4;4;-1;38;467
932;4;4;-1;38;-4
933;4;4;-1;38;158
934;4;4;-1;38;115
935;4;4;-1;38;148
936;4;4;-1;38;134
937;4;4;-1;38;177
938;4;4;-1;38;181
939;4;4;-1;38;107
940;4;4;-1;38;26
941;4;4;-1;38;8
942;4;4;-1;38;22
943;4;4;-1;38;5
944;4;4;-1;38;14
945;4;4;-1;38;39
946;4;4;-1;38;110
947;4;4;-1;38;169
948;4;4;-1;38;203
949;4;4;-1;38;246
950;4;4;-1;38;221
951;4;4;-1;38;220
952;4;4;-1;38;332
953;4;4;-1;38;351
954;4;4;-1;38;407
955;4;4;-1;38;354
956;4;4;-1;38;437
957;4;4;-1;38;583
958;4;4;-1;38;628
959;4;4;-1;38;562
960;4;4;-1;38;475
961;4;4;-1;38;543
962;4;4;-1;38;459
963;4;4;-1;38;56
964;4;4;-1;38;62
965;4;4;-1;38;28
966;4;4;-1;38;146
967;4;4;-1;38;276
968;4;4;-1;38;104
969;4;4;-1;38;210
970;4;4;-1;38;137
971;4;4;-1;38;0
972;4;4;-1;38;64
973;4;4;-1;38;34
974;4;4;-1;38;26
975;4;4;-1;38;21
976;4;4;-1;38;21
977;4;4;-1;38;13
978;4;4;-1;38;17
979;4;4;-1;38;18
980;4;4;-1;38;10
981;4;4;-1;38;17
982;4;4;-1;38;18
983;4;4;-1;38;16
984;4;4;-1;38;31
985;4;4;-1;38;31
986;4;4;-1;38;30
987;4;4;-1;38;31
988;4;4;-1;38;29
989;4;4;-1;38;11
990;4;4;-1;38;20
991;4;4;-1;38;26
992;4;4;-1;38;20
993;4;4;-1;38;21
994;4;4;-1;38;0
995;4;4;-1;38;18
996;4;4;-1;38;14
997;4;4;-1;38;15
998;4;4;-1;38;32
