OID_;id;id_cs;ate_avg;ate_min;ate_max;ate_stdev;GlobSedv2_Clip_ProjectRaster
2198;12849;54636;-31,829999999999998;-11,699999999999999;-78,500000000000000;21,230000000000000;
2199;12850;54637;-45,850000000000001;-26,800000000000001;-80,500000000000000;21,559999999999999;
2200;12851;54638;-158,259999999999991;-16,100000000000001;-276,199999999999989;106,769999999999996;
2201;12852;54639;-98,659999999999997;-4,700000000000000;-174,599999999999994;64,290000000000006;
2202;12853;54640;-228,569999999999993;-48,299999999999997;-334,899999999999977;128,150000000000006;
2203;12854;54645;-17,379999999999999;-9,900000000000000;-23,699999999999999;5,070000000000000;
2204;12855;54646;-22,170000000000002;9,000000000000000;-90,500000000000000;32,460000000000001;
2205;12856;54647;-32,299999999999997;-1,500000000000000;-43,500000000000000;15,680000000000000;
2206;12857;54648;-31,899999999999999;4,700000000000000;-124,200000000000003;43,009999999999998;
2207;12858;54650;-34,020000000000003;-15,600000000000000;-84,000000000000000;23,050000000000001;
2208;12859;54651;-25,530000000000001;2,700000000000000;-36,600000000000001;13,640000000000001;
2209;12860;54652;-114,750000000000000;-42,000000000000000;-272,800000000000011;78,540000000000006;
2210;12861;54654;-54,969999999999999;-2,100000000000000;-204,199999999999989;64,359999999999999;1015,7183228
2211;12862;54656;-20,730000000000000;-8,500000000000000;-28,699999999999999;7,590000000000000;
2212;12863;54658;-113,280000000000001;-30,000000000000000;-383,199999999999989;128,949999999999989;
2213;12864;54661;-55,509999999999998;-27,399999999999999;-84,099999999999994;18,469999999999999;
2214;12865;54662;-120,299999999999997;-8,800000000000001;-197,099999999999994;69,750000000000000;
2215;12866;54663;-108,709999999999994;-8,100000000000000;-235,199999999999989;83,859999999999999;
2216;12867;54667;-87,540000000000006;-3,800000000000000;-266,399999999999977;95,959999999999994;
2217;12868;54669;-104,459999999999994;-5,700000000000000;-388,300000000000011;121,040000000000006;
2218;12869;54670;-40,579999999999998;-3,500000000000000;-66,299999999999997;21,649999999999999;
