OID_;ORIG_FID;FID_ne_50m_coastline_Tes_SymDiff_Buffer_10KM;FID_ne_50m_coastline_Test_Clip_Bufffer10km;FID_ne_50m_coastli_Testmap_ToPoly;Australia_elevation
965;15;10;-1;38;25
966;15;10;-1;38;24
967;15;10;-1;38;22
968;15;10;-1;38;14
969;15;10;-1;38;5
970;15;10;-1;38;37
971;15;10;-1;38;68
972;15;10;-1;38;153
973;15;10;-1;38;124
974;15;10;-1;38;153
975;15;10;-1;38;70
976;15;10;-1;38;55
977;15;10;-1;38;54
978;15;10;-1;38;22
979;15;10;-1;38;65
980;15;10;-1;38;33
981;15;10;-1;38;39
982;15;10;-1;38;56
983;15;10;-1;38;49
984;15;10;-1;38;24
985;15;10;-1;38;49
986;15;10;-1;38;59
987;15;10;-1;38;87
988;15;10;-1;38;76
989;15;10;-1;38;100
990;15;10;-1;38;71
991;15;10;-1;38;94
992;15;10;-1;38;37
993;15;10;-1;38;57
994;15;10;-1;38;46
995;15;10;-1;38;53
996;15;10;-1;38;200
997;15;10;-1;38;153
998;15;10;-1;38;114
999;15;10;-1;38;134
1000;15;10;-1;38;88
1001;15;10;-1;38;70
1002;15;10;-1;38;64
1003;15;10;-1;38;23
1004;15;10;-1;38;53
1005;15;10;-1;38;53
1006;15;10;-1;38;59
1007;15;10;-1;38;15
1008;15;10;-1;38;7
1009;15;10;-1;38;12
1010;15;10;-1;38;14
1011;15;10;-1;38;13
1012;15;10;-1;38;15
1013;15;10;-1;38;16
1014;15;10;-1;38;21
1015;15;10;-1;38;21
1016;15;10;-1;38;20
1017;15;10;-1;38;19
1018;15;10;-1;38;19
1019;15;10;-1;38;20
1020;15;10;-1;38;20
1021;15;10;-1;38;21
1022;15;10;-1;38;16
1023;15;10;-1;38;18
1024;15;10;-1;38;13
1025;15;10;-1;38;6
1026;15;10;-1;38;25
1027;15;10;-1;38;140
1028;15;10;-1;38;130
1029;15;10;-1;38;109
1030;15;10;-1;38;110
1031;15;10;-1;38;103
1032;15;10;-1;38;79
1033;15;10;-1;38;85
1034;15;10;-1;38;91
